step,episode,alive,contact,speed,torque,im_hip_pos,im_knee_pos,im_ankle_pos,im_hip_vel,im_knee_vel,im_ankle_vel
11,0,0.5,0.0,0.06454956526824517,-0.19498731451375145,1.954388160438005e-07,1.0423629721303856e-06,0.025872582955001264,0.0034093426876716736,0.006288318062948664,2.7568107539469003e-05
12,0,0.5,0.0,0.07950215969982133,-0.22067235569868768,7.274374104342755e-06,6.27355792767886e-06,0.016999191443756948,0.0007090220050534489,0.0032101143581992502,8.962338537640599e-09
13,0,0.5,0.17471861142800948,0.0742458522997054,-0.2689145177602768,0.0025261912350422067,8.50272073864641e-09,1.566558949210163e-08,0.018667989283111003,0.017750215537447867,0.08108698247038944
14,0,0.5,0.1731577643593463,0.060384777021611095,-0.2520230638129371,6.749613041228663e-07,6.3815057280901e-07,3.3610252289337574e-06,0.0012044770411349915,0.0397388834736351,0.07908426419441068
15,0,0.5,0.18128983236583454,0.08098056300713825,-0.2861933384622847,0.0029102356807433763,4.792325498310661e-07,6.192473887234766e-07,0.0014512014135173047,0.04076866745376264,0.08083153503481702
16,0,0.5,0.0,0.0522930800180858,-0.16789454828415598,0.0011939425630973742,1.6111888067214913e-08,0.005442888278132351,0.04399602458213638,0.00128857668680833,0.06570395947429496
17,0,0.5,0.26960569565947584,0.043037874668047066,-0.20799724491579194,1.6096049995904288e-08,0.005380770996885777,0.00011459769551069163,0.04673030040577355,0.0027952385437243783,0.00014775012649012934
18,0,0.5,0.0,0.04135882359312276,-0.21558824639235225,7.878427580208381e-07,4.673509736283094e-05,0.00520342616590375,0.10880009000548126,0.0009196924572914244,0.0010759626803343986
19,0,0.5,0.0,0.04325613955355025,-0.17949607691594535,0.04092580844850616,3.9326499668114084e-07,0.00010501818848442685,0.049785184157145376,0.0031414938085933056,0.0024898121602852964
20,0,-100.0,0.0,0.04517709860378058,-0.2456971756049565,8.62125486885958e-08,2.513133290917917e-06,7.170926855101002e-09,0.009157197698469488,0.036605679514531156,1.708588055582532e-10
21,1,0.5,0.19781318694900288,0.014532595366985939,-0.2085151555282729,8.736470118788494e-07,0.00042613842110711094,0.001719977442603595,0.008902968236652944,0.019135101785207106,5.381483011120647e-06
22,1,0.5,0.19938650582059828,0.015457817829738443,-0.27778764234057496,2.336096776522215e-08,1.8066390988893828e-09,2.7334654778269597e-08,0.023195681752128394,0.023710228463110158,0.0159975517844017
23,1,0.5,0.21508004278998344,0.014524809379212935,-0.27684859995331085,1.8864306004712052e-08,6.697497731634478e-10,3.5903068264999766e-08,0.03679659967565416,0.011192205237449744,0.04569543105002467
24,1,0.5,0.0,0.01725183153960568,-0.22694360347730774,0.00028730120848686683,0.00013310386362382713,1.1300642817749341e-05,0.0009361679942320327,3.535359913916979e-05,1.869805547563072e-10
25,1,0.5,0.4232600700647782,0.020205779577438954,-0.2754571584718568,0.00011260564307671658,3.351227790218825e-10,1.2251716406349094e-08,0.033834942363063926,0.02308863562153821,0.012953483323694812
26,1,0.5,0.0,0.01800932347852558,-0.2518521428108215,3.10336120214768e-05,0.00030017193318377934,5.8515979318400025e-08,0.004250859335899283,0.016436523365903993,2.1007537784516075e-10
27,1,0.5,0.0,0.022473145223000035,-0.3035750640290124,5.740933329839995e-09,0.04894538463486116,7.200391661257178e-08,0.0027987661092920943,0.000121387353687622,1.032754210566842e-06
28,1,0.5,0.0,0.02238915634769798,-0.19986540238772119,0.003769615411515939,2.2266336544221263e-05,7.630256261293498e-09,0.02996779706164329,0.03346513790810663,6.157974273184759e-10
29,1,0.5,0.0,0.018204939098373566,-0.15850336062056677,6.959444334997659e-05,7.33770190254051e-05,7.2624539105382734e-09,0.05453009803183581,0.0031194803614532016,0.06365204112540493
30,1,0.5,0.0,0.01768326144089207,-0.21481689378353103,3.337459770672892e-05,9.756558360903962e-10,2.9601721930470377e-05,0.02119860415529637,0.017381015474173943,0.08883247206851909
31,1,0.5,0.0,0.017603840156459986,-0.2163295362676893,0.002579556436774182,0.046034082662692155,2.9886429551869623e-06,0.02885562341741588,0.0001988130149356905,2.2206641668184665e-10
32,1,0.5,0.0,0.01392827927210289,-0.2819196632930211,1.0856417290382091e-06,2.048786723532268e-09,0.0019447016366196778,0.0562657847150749,7.32653215335939e-05,2.301018785700761e-10
33,1,0.5,0.0,0.011988116951258608,-0.27786743811198644,1.2710843444560253e-06,2.4154808827541204e-09,1.125590320759361e-07,0.018995089056904942,5.475373317494511e-05,1.6963636340911981e-06
34,1,0.5,0.0,0.011825976717121987,-0.10463466649608952,0.00901855418150417,0.001058337509843716,0.00010193307868645884,0.11702191845216042,0.001097432422310125,0.002574292125158342
35,1,0.5,0.0,0.012366894367772623,-0.18785508977515358,0.01684681259080539,7.577515189695107e-06,3.4873390305093126e-05,0.014188167546159494,0.012649668445268285,2.561325974407729e-10
36,1,0.5,0.0,0.012955423898401718,-0.23798982139144625,0.006983096767204388,7.083327460606823e-07,1.1885718718548072e-08,0.020178552575476592,0.004708099480520776,0.0001403147047057861
37,1,0.5,0.0,0.01638780285394787,-0.1965672940015793,7.61628564713392e-05,5.8903485812252504e-09,3.258670855630247e-06,0.022660677883784733,0.021731305806228857,1.230660727492949e-09
38,1,0.5,0.0,0.018937143607171098,-0.26608359132494247,8.476611754830595e-07,7.989666418004316e-09,7.770850695555118e-06,0.05621271156538395,0.008259268112165333,0.05056603980223833
39,1,0.5,0.0,0.023453235921256217,-0.20208183260900633,5.305599067893083e-08,1.0753773503406615e-08,2.8828373398981584e-06,0.061433295686590006,0.02834716624468044,0.0014085010757032875
40,1,0.5,0.0,0.04314184959001282,-0.2595728869949068,1.1804543705401584e-05,0.0003334135652111857,1.226032129452763e-08,0.03834334602817154,0.020744410496438995,3.0346714980713232e-09
41,1,0.5,0.0,0.038899080449291884,-0.1431276451264109,0.0013019494790438458,0.0003974572289474342,0.060021750347793314,0.0358379792956629,0.023911222431594454,0.06939994705793884
42,1,0.5,0.0,0.03223571360245899,-0.23659968376159668,1.2104102327334863e-05,1.2556302787451983e-05,0.0001887379621042278,0.09480825738979876,0.03279557768043646,2.8948404564358896e-10
43,1,0.5,0.0,0.04007689225132182,-0.20232126180614746,6.18797113445619e-05,1.1220258857242573e-05,4.165430230937657e-09,0.0425062065210471,0.012455323360162607,2.2371134139774273e-10
44,1,-0.5,0.0,0.02522471846681919,-0.2072831225182329,1.3051765376338869e-08,2.9251938763504536e-05,1.2292688149758135e-09,0.05623893598340311,0.014941220292992479,0.04004129788119409
45,1,-0.5,0.0,0.017145614177923065,-0.16180949322879315,7.66207027176536e-06,1.1704673847170501e-05,4.752827524272283e-07,0.04774020964290239,0.10297953641570118,0.0004356114762242599
46,1,-0.5,0.0,0.014831111704268443,-0.20915677893374646,8.990609536744946e-07,1.0405705461833766e-06,8.473877972437955e-07,0.07882472579558,0.12690393079260665,0.04513690414868278
47,1,-0.5,0.0,0.01405265985121302,-0.11706650768007551,0.0033001519045526683,1.5929449841144406e-05,1.3915065744559224e-05,0.0935997530164021,0.0891390725359625,0.04580024134379348
48,1,-0.5,0.0,0.014130402413547983,-0.2308466483439718,1.552213201832381e-08,1.928675689577702e-08,1.3444236261073415e-07,0.059282154967161646,0.009989590504073668,1.047762566088772e-10
49,1,-0.5,0.0,0.016037205873004376,-0.16255625204316207,8.518630479974452e-07,0.0001600245217022169,1.572377617475312e-06,0.08018155793775782,0.060114306320531746,8.932149556006718e-05
50,1,-0.5,0.0,0.014191678997423428,-0.17673852645925112,0.0010484640879150733,2.180794362684899e-08,7.81216215550786e-05,0.044751242613365785,0.03823570191014885,8.702735537679004e-11
51,1,-100.0,0.0,0.01322950423768516,-0.20029429867863655,0.000969982723044101,9.796493926639704e-07,8.455471603287853e-07,0.04384541211974804,0.07963922708556427,4.225896369754801e-06
52,2,0.5,0.0,0.038242862063339954,-0.23501080019133433,0.0036788156960600006,1.5483120296539192e-06,0.0003494831503133773,0.00010853974210840008,3.403291091549033e-07,0.047860811091036765
53,2,0.5,0.0,0.04938951385041309,-0.20447637444095954,7.377872306066035e-07,0.019535409523564806,2.878004664915767e-08,0.007906364197922705,0.04660300532421479,0.04942722888319891
54,2,0.5,0.0,0.03877003189833466,-0.25994725099631716,3.2241926982056766e-07,0.05127230257676167,2.9866888125933804e-08,0.0075744150346676205,0.048600170678349985,3.7746404363452993e-10
55,2,0.5,0.0,0.037395971571432665,-0.2534011493836131,4.9709777794353465e-08,2.241379637891763e-05,2.5029877844973073e-08,0.0290748836045156,0.05221888768797319,2.2126923954157887e-09
56,2,0.5,0.2412044317430101,0.032855959886690524,-0.2025830710572856,7.821316282371994e-07,0.00013370628479177863,8.890194497632345e-06,0.020511819423595253,0.026928092475866975,0.04472472781886317
57,2,0.5,0.1785240914887829,0.03390930192671778,-0.2411246041102069,6.057025894775947e-06,1.4363833197589788e-05,1.3251711270278506e-08,0.06299731294184586,7.216333925735249e-08,2.3186128618105305e-10
58,2,0.5,0.15055021069678964,0.01895876030288215,-0.15548911733286722,0.0001149884014516757,0.018895537869743788,1.841418012334745e-08,0.02189088725726739,7.5378315101506865e-06,2.428283118934765e-10
59,2,0.5,0.1500088565984804,0.020164744014050714,-0.18874058478644914,1.4535693888763923e-08,0.0025317602920927927,6.982082993728042e-05,0.0023507090706089014,0.0003836942912526827,0.0724316348722924
60,2,0.5,0.1500002678238539,0.026685457520688426,-0.21241534905774254,8.098868067680925e-09,0.0009750074663893483,0.013773230543830452,0.03464607570504864,0.07781714870194283,6.331080054692423e-06
61,2,0.5,0.0,0.037692786920420086,-0.26468108892440795,1.233276546689722e-06,3.114045783406542e-09,0.0019853849838815303,0.008619583673272924,0.03576380107777553,1.597619003445579e-10
62,2,0.5,0.0,0.024270015178041372,-0.2415170638156789,2.06453113170739e-08,1.741185823194157e-06,1.8550983916814158e-08,0.0016280288873219337,0.10232071128461066,1.5809043988410663e-10
63,2,0.5,0.0,0.018171133541812243,-0.1986537470349244,2.3170634770271009e-07,2.902462944018155e-10,3.209631411440694e-06,0.0011453027318992055,0.11003123471539861,0.07179334639351266
64,2,0.5,0.0,0.019458305323909738,-0.22191054807044566,6.329319612702211e-08,8.66117633182024e-06,2.3549364567857413e-09,0.0072913920388784975,0.030410503340400307,0.06933457392034974
65,2,0.5,0.0,0.022717563593534152,-0.19493722576381906,7.659816474147429e-06,0.01086858153596622,2.484624349121025e-09,0.07963611039648745,0.003018418699853318,0.06762776452115819
66,2,0.5,0.0,0.02256919599427387,-0.22794520322765624,0.003014714462976971,2.72645243317558e-10,0.0006043611322000562,0.0014932516462699272,0.007942336364737115,2.546411271356643e-10
67,2,0.5,0.0,0.02081856104401433,-0.23520955847842354,0.0005837824368563586,0.005761992547899135,5.2381834824476604e-08,0.008955976571601111,0.04197413902885818,1.6500090242423544e-08
68,2,0.5,0.0,0.02455697747509197,-0.2028793045718755,3.1735633838437766e-08,9.046492527601366e-08,1.3975499500040457e-06,0.0005152671322286588,0.013908835242472231,1.1391056765107394e-07
69,2,0.5,0.0,0.024993577232660793,-0.16702491827309132,0.0002855223316462881,7.82838455732149e-09,0.0005329966059109095,0.0003597887198428139,0.012847592854935974,0.05772998132101886
70,2,0.5,0.0,0.026454574703869273,-0.21609340916786873,3.041685498721338e-08,6.268699580547223e-06,0.00021794784745411398,0.0002347918929058071,0.0235166301349372,1.8672090171406803e-10
71,2,0.5,0.0,0.01986442164006293,-0.16019691846200398,0.043834401314756036,0.00016725141455423983,3.289825932866831e-05,0.0018348086255075943,0.07586840547463412,1.36154667452563e-09
72,2,0.5,0.16442609333810512,0.01798178615572291,-0.2204821319452354,0.03999096686999198,6.572347176588648e-08,2.700538832241588e-08,0.010816595793669429,0.007530788806307625,7.816738008173846e-06
73,2,-0.5,0.0,0.0244764938150326,-0.23228475483400482,0.05516432933309886,5.929897672633846e-06,9.889115479406958e-06,0.04804710636845734,0.05697853866393202,3.447164581027219e-05
74,2,-0.5,0.0,0.03203215339040449,-0.21351528380598342,6.165053762994183e-07,0.002929169818154183,3.234918106551457e-06,0.004194113904118238,7.175276178958022e-05,1.9700701505801076e-10
75,2,-0.5,0.183388672967772,0.026175182218504723,-0.27242819761325204,1.4877639186430918e-08,4.020731539701186e-10,8.205355442860202e-09,0.033699329727342325,0.022860483041663764,0.08208947025058448
76,2,-0.5,0.2849429328020668,0.027648347030175414,-0.16253732996327538,7.460249867417564e-07,0.001760756008056701,5.7600898121762064e-05,0.09947667845242643,0.005972910635967284,8.967368804503754e-05
77,2,-0.5,0.0,0.0281810593997484,-0.27421976774930956,1.2133221269269657e-08,4.29424198911468e-10,6.8833983370149e-09,0.06091905826528946,0.004240024393589354,0.07615019287882674
78,2,-0.5,0.0,0.04520106758784745,-0.1830068671277591,1.1439358965828457e-08,3.934033214472677e-06,3.418835747231902e-05,0.07188692898426435,0.03315414344072604,0.09039269642327298
79,2,-0.5,0.0,0.05415166056647617,-0.2079830592232091,1.567926039289807e-05,0.0002523430954542611,7.492783831524677e-09,0.07712702536920944,0.03239065948276698,0.0890704376939307
80,2,-0.5,0.27378444885582565,0.035886668713356704,-0.26668661534786225,3.132484203188447e-06,2.180252152268886e-05,3.5719496136579386e-09,0.016928529540298654,0.04088270946411644,0.09773440000494989
81,2,-0.5,0.0,0.0336417370938936,-0.21434353132333075,1.0958596366622994e-06,6.26338767460844e-07,2.584578379954389e-05,0.001120040273989048,0.010841154043293113,1.7984706123917065e-07
82,2,-0.5,0.2430251409432783,0.028866447086623795,-0.28464664902005876,1.102058729696017e-08,6.568445862956849e-07,2.3288361107952717e-08,0.0005226779395082266,0.033853243835668054,0.00044978307969083427
83,2,-100.0,0.0,0.03158004009060421,-0.2264623693057469,1.9903705286697077e-06,1.1166511182534552e-05,1.668382271376515e-08,0.0001334070326547152,0.0035192192714666184,1.157838409435311e-06
84,3,0.5,0.0,0.3461058908026576,-0.18213788345456125,2.2032139505332028e-07,0.00032641588986286486,0.00011213374065501138,0.04178456725309798,0.005633196060758599,2.2773101969817626e-07
85,3,0.5,0.0,0.3206531114158266,-0.25598701728241785,0.00932959570092273,2.987484426715442e-08,1.1165104558626706e-06,0.0026498120408743214,0.00918823115836998,0.00014500801280568844
86,3,0.5,0.0,0.20023646075484333,-0.23357018533362342,9.165870801177426e-06,0.001888910524138485,1.0614262551792865e-07,3.9526494710707005e-05,3.984274142120658e-05,3.8919053897016e-05
87,3,0.5,0.0,0.15206369169988015,-0.2965435566646712,5.5642047749553366e-08,1.157058265234195e-06,1.0869276121667682e-08,3.988274702470719e-05,0.0001843026673653948,1.9780108615401451e-10
88,3,0.5,0.0,0.14023560774445695,-0.2863897738712175,1.0586142216684245e-07,9.763234855139094e-09,2.3166138653379182e-09,1.0386418338062034e-05,0.0019498936948725179,0.09010217034651498
89,3,0.5,0.0,0.2155552618551023,-0.2971454156296594,5.362163047763552e-08,8.840211875008901e-08,1.7597214604300124e-06,0.027196137693431443,0.012137921581435522,1.7655962235631236e-08
90,3,0.5,0.0,0.5014099903083945,-0.27962766034262526,4.996939005322472e-06,1.43256498072717e-05,2.702284741412266e-08,0.004167742131329791,0.014010154089505901,2.2069728394791394e-10
91,3,0.5,0.0,0.522752142186162,-0.2723516396113805,4.3734675337279626e-07,4.2355595570413336e-07,8.941150348628345e-07,0.009682392587553774,0.0029307067327771596,0.0686301005468835
92,3,0.5,0.0,0.4146828123808597,-0.2855753787926265,0.00022031002956330345,2.7671735709582426e-07,1.6811083033255576e-08,0.0007779964006386323,7.644709737305387e-05,4.2449867345429425e-09
93,3,0.5,0.0,0.32742326453624987,-0.2095700665643173,4.272211147306344e-08,2.0389834868509114e-05,0.05014277334154555,0.00044009645747331705,0.0057605702597575865,5.10263598406186e-05
94,3,0.5,0.1968388979773033,0.3306673211683788,-0.27092420288494656,5.215342333960985e-08,0.0007565682136911557,6.195251944025832e-08,0.014559925938883854,0.021740752765092346,0.08875129892232216
95,3,0.5,0.3,0.5049198007829575,-0.13118571596486228,0.037848284404908526,0.0039498362431559025,0.0030997964998569806,0.08144949460069836,0.0010270092677999313,0.03802566668425883
96,3,0.5,0.3,0.3533432133104724,-0.23846331888011524,5.354127179857111e-08,1.2628481290512439e-08,0.0002625097960685891,0.030722116936894694,0.00011698238291555609,0.0002705792396530525
97,3,0.5,0.22948379510598516,0.29750122524880224,-0.2095115484935897,0.0005084513121979769,4.044796425107192e-05,1.1460856332881612e-06,0.03851437571956311,0.0033753136171490645,1.9845300109169826e-10
98,3,0.5,0.0,0.2414125224849681,-0.20609486656529563,0.030899168940906333,6.734051484959989e-08,5.476047455338058e-09,0.0582275791423221,0.0006122353251184106,1.4515237755848967e-05
99,3,0.5,0.0,0.1769646016320054,-0.17619061786016185,2.0316872848974807e-07,0.0005272903942603285,5.4576607060110285e-08,0.14132414503498478,0.1242307888646576,6.140183438053225e-06
100,3,0.5,0.0,0.20930612443053115,-0.22911032395703454,2.0257463064602523e-07,0.0004114668767675395,8.181337000043054e-08,0.07912476641643013,0.0371808973769098,2.9698842850666918e-06
101,3,0.5,0.0,0.3104884936839218,-0.20554678001041923,6.722818310048469e-05,1.4524447423153376e-07,6.392463418965656e-06,0.002793556528889472,0.05373717684833025,0.008363665689795748
102,3,0.5,0.0,0.3645892475721658,-0.2124366143984454,0.06701599391116059,6.364532300251734e-09,7.402460242943598e-05,0.001841135879277963,0.04615084105087167,0.08762697113866581
103,3,0.5,0.0,0.40383733574782604,-0.22250790196870054,1.4901984344920262e-07,0.003189211323212501,3.939562427895483e-05,3.410510242705014e-05,0.0005299706769942283,0.08893699806343146
104,3,0.5,0.1503307525385143,0.4242739333626133,-0.2424564292388303,3.995913560160565e-08,0.00012230637883190712,7.375884566390701e-09,0.0004727667823091887,0.10411924337556863,1.0707708326028817e-05
105,3,0.5,0.0,0.35937064016982606,-0.15344227270356245,0.0016051723077985629,3.7762024615230384e-07,0.0004227677768410357,0.0005479168617878432,0.0220595808086811,0.00021719203748723242
106,3,-100.0,0.0,0.24167668993989577,-0.2831997109310968,6.7934694086522825e-06,1.0522761516594483e-08,4.071783704864379e-08,0.0674980365313207,0.004621837893673539,0.03560243388619452
107,4,0.5,0.0,0.019017479765404816,-0.2070319967078311,1.7426453503400352e-05,8.570988632467869e-08,2.511359315953389e-08,0.04442153687768656,0.0006296539052215795,2.6702329988889133e-10
108,4,0.5,0.0,0.023612633091297328,-0.27081008425780706,1.7045885833804973e-07,2.9494272096604926e-06,5.210952154700632e-08,0.006798051369977133,0.0005683473219818262,1.1725993893889412e-09
109,4,0.5,0.0,0.023842483789181735,-0.13468406721949577,0.009234825652478807,8.214738277630911e-05,0.000625167462253389,0.07231701443922954,0.036499682921202266,0.06108488655577479
110,4,0.5,0.0,0.016179853117326493,-0.24492857924529485,0.004414654629032931,2.5150930884715073e-09,5.36228364911397e-08,0.0006669303694226309,0.00011097664616581492,0.06860190287750036
111,4,0.5,0.0,0.012542034657435058,-0.17290236311299462,0.05490530257038864,1.8896769384215947e-09,0.019510974694003494,0.00015662281351456716,9.016025592444652e-05,0.07389847092698033
112,4,0.5,0.0,0.012592903260855597,-0.1425115000988756,8.023952605717402e-08,0.013073344070486147,0.007094047250232833,0.00026635679100639833,0.0001301125018163374,0.05606378020045997
113,4,0.5,0.0,0.01190374246304378,-0.15478290468454362,0.14394209159903645,6.947301528455387e-10,0.0012902399519311278,0.01447072750770558,0.0003765169695186295,2.8028669248186112e-08
114,4,0.5,0.0,0.012333155519029472,-0.174443206936121,0.0012656878620397394,1.9747744323634708e-09,0.0007999011363415806,0.018432090356932048,0.029598951677611993,1.627074336893813e-10
115,4,0.5,0.0,0.013854769712903472,-0.18398210145533087,0.0025776500761125294,5.099141674569582e-10,4.038195874204791e-05,0.009367485191104972,0.006619965528154453,0.0762037288308225
116,4,0.5,0.0,0.01437254321564246,-0.30895518256085264,6.926339767935911e-08,7.372598440536897e-06,1.0160231195754446e-08,0.012350525433208427,0.031007320837215423,2.6203172462207954e-10
117,4,0.5,0.0,0.015411868856962203,-0.19762628610645022,0.016657857513736555,7.476702439845171e-05,1.1239368032694864e-07,0.0611808395243823,0.10836892682397507,2.595634581901157e-10
118,4,0.5,0.0,0.01308980460822789,-0.2845952592257942,5.267796687841013e-07,4.640327485436134e-10,2.1609267579828404e-08,0.09136848792991407,0.004642047392470399,0.06969794032765994
119,4,0.5,0.0,0.012106825435715098,-0.2046270625931876,0.0001196909723385285,2.59819046648081e-05,5.0373203968936995e-08,0.01977634251740216,0.040729263397928206,3.860558825352191e-09
120,4,0.5,0.0,0.01252155896614607,-0.21673097589186258,3.258965392075436e-08,7.427028547363421e-06,0.0002411583609515954,0.016351504539593255,0.014651861447587502,0.018107293023482747
121,4,0.5,0.2544242163311446,0.01320399316542356,-0.27391296795436315,4.427484708656463e-06,2.0920058731839656e-05,9.464605551425367e-07,0.019675877598026508,0.010987798608479338,0.01218645216098091
122,4,0.5,0.23088418278828401,0.012098128847234626,-0.27330747419702156,1.7533665060537735e-08,0.0002362942986145529,3.990029201314681e-06,0.0017355624756493792,0.0014837404019727926,1.4225485411578786e-06
123,4,0.5,0.28987058474897387,0.013265848469844785,-0.27548716302428927,1.037942629705906e-08,3.837424734948141e-06,1.321779224509045e-05,0.0009166741986837089,0.00037666707508833243,7.26413708657902e-07
124,4,0.5,0.2992027397476612,0.015352416505076308,-0.2551123495612826,1.1932116301330167e-07,2.1288044742735906e-06,2.146861601429532e-08,0.0904202299905744,0.010616061710477801,6.512686563576803e-09
125,4,0.5,0.2486849966802001,0.01440492688824848,-0.18504195412886995,8.419319499634698e-08,0.0021622286322646256,6.261934016174658e-09,0.06247584746106609,0.0047180764272198765,1.940140746535221e-10
126,4,0.5,0.0,0.016270983768477642,-0.1741767232771963,0.0004880380202257696,4.080128153631521e-06,4.308322505620005e-08,0.05556374824719428,0.010847204602554892,8.20905618539076e-06
127,4,0.5,0.36922460216757125,0.014794974434884946,-0.15533257690923555,0.0002495060818616647,1.166903825273265e-05,1.8508728575440383e-06,0.035875485472168865,0.03495275331490377,4.132002555491262e-06
128,4,0.5,0.22449028729612872,0.014034665423866183,-0.11974232440282193,0.000483964373843734,2.1426701271511365e-06,7.616507305833073e-05,0.09261086177814903,0.05781074904264357,1.4742499046189604e-06
129,4,0.5,0.17442604482969196,0.012783840583737747,-0.26535310574940274,6.174869874393468e-09,1.3250495742079044e-09,2.236500018364362e-05,0.10188466027953066,0.04445932849376017,0.09139473616354726
130,4,0.5,0.23048504071805148,0.015687567540363014,-0.2688180663755962,5.658632176476186e-09,6.576372873974607e-09,0.0003458429842798099,0.09957275383062468,0.00045641223024183244,2.1780769923358923e-10
131,4,0.5,0.24428264739086875,0.01687778184478478,-0.24089773680482593,5.961200752941525e-08,8.914033643524303e-05,5.258072344834737e-07,0.029580346948416235,0.005048961209766179,1.9456807704630306e-10
132,4,0.5,0.3,0.01583467281476924,-0.18453712846551623,1.6077443981026768e-07,0.0005151332944323165,4.756334360775568e-06,0.07720356268524976,0.04181785873566476,0.06850644595386939
133,4,0.5,0.3,0.016412803279909197,-0.1512084964130606,1.0089759871296962e-06,0.0009015996060583982,6.850050578893284e-09,0.06579046403234752,0.0438107170931139,0.0941072443945607
134,4,0.5,0.0,0.018371980554276725,-0.2891740552016667,3.1463688681748312e-09,4.570819622419064e-08,1.976730202808732e-09,0.006236230733967675,0.018947116780856962,0.08838917589557047
135,4,0.5,0.0,0.01964627852156833,-0.2326782771519252,1.1312156930734985e-07,0.00024491394412862487,1.3982413592346616e-07,0.11639191874217311,0.04331769352961044,0.00022512082030753133
136,4,0.5,0.0,0.018485644301650922,-0.1929939447769097,0.0002683758096011356,2.522875855746153e-09,0.02462786282738063,0.019387349626946614,0.02482093121676254,2.3594689545538414e-10
137,4,0.5,0.0,0.019550715558028516,-0.1147582749969193,0.00036819922443888343,0.0008506473017673853,7.227686168636668e-08,0.009688908735864107,0.0054697910336966955,0.0826694124314987
138,4,0.5,0.0,0.019390451087166378,-0.19293584004044534,7.871491000342981e-05,2.9658581153038126e-07,1.698296712365696e-08,0.002194660227153933,0.0028915459099611712,0.0051984140759448235
139,4,0.5,0.4040220109380959,0.01954543301966511,-0.23560612457139152,3.606945355316977e-07,1.061541461323678e-08,3.993305419795633e-05,0.06072665650384139,0.04188659334761377,9.072649872854406e-05
140,4,0.5,0.25161412879918066,0.016038520375905575,-0.24687439416136062,8.646746235269717e-06,0.0006180912500907056,1.0472725125057505e-05,0.029215090332283682,0.007983295675930865,0.04826608101059584
141,4,0.5,0.0,0.01331325358700054,-0.235273996421269,4.708022555161335e-07,0.0004967891623089366,7.287666289936177e-08,0.014375451387546865,0.05652815511973133,0.07513689454007533
142,4,0.5,0.0,0.010998075378923522,-0.18964413766350066,0.012200490497934664,0.001407158246123083,0.0015476272088278235,0.12788071901439504,0.004085948935842743,0.07691657575206827
143,4,0.5,0.0,0.009606015523297288,-0.1830718487235052,0.0011118707153286432,3.523817079869435e-06,0.01276660942456374,0.00840290591171488,0.023855921789011903,0.07593916485370947
144,4,0.5,0.26237805585273083,0.009664298762624977,-0.11165768541395664,0.02825584059778715,0.0004996582933700636,7.476978296858255e-05,0.01174789691380885,0.08170115053573336,0.0746625220363524
145,4,0.5,0.26124834707126626,0.010736720487696978,-0.282196392385023,1.2167390080125792e-08,1.3566866083848583e-08,6.540580093128715e-08,0.010177073211759287,0.03928375361606569,0.07324755867111346
146,4,0.5,0.0,0.013371185596284014,-0.2602208978363446,1.2750624343186068e-08,1.9586227321815027e-06,1.8918524483400753e-08,0.05997424552724271,0.10484808140256485,2.235936570071533e-10
147,4,0.5,0.0,0.014615621134063811,-0.18793267394815172,0.0024473718933236397,8.528764865458712e-08,0.0007528197808548449,0.08998667594733006,0.11527170839793596,4.26821659644172e-05
